abandonment	abandon|||verb|||—abandonment
squeakily	squeaky|||adjective|||—squeakily,—squeakiness
squeakiness	squeaky|||adjective|||—squeakily,—squeakiness
squeamishness	squeamish|||adjective|||—squeamishness
squiggly	squiggle|||noun|||—squiggly
Sri Lankan	Sri Lanka|||noun|||—Sri Lankan
stabilization	stabilize|||verb|||—stabilization
stably	stable|||adjective|||—stably
staffing	staff|||verb|||—staffing
staggeringly	staggering|||adjective|||—staggeringly
stagily	stagy|||adjective|||—stagily
stagnation	stagnate|||verb|||—stagnation
staleness	stale|||adjective|||—staleness
Stalinist	Stalinism|||noun|||—Stalinist
stalwartly	stalwart|||adjective|||—stalwartly
stammerer	stammer|||verb|||—stammerer
stamp collector	stamp collecting|||noun|||—stamp collector
standardization	standardize|||verb|||—standardization
stand-offishly	stand-offish|||adjective|||—stand-offishly,—stand-offishness
stand-offishness	stand-offish|||adjective|||—stand-offishly,—stand-offishness
starchily	starchy|||adjective|||—starchily,—starchiness
starchiness	starchy|||adjective|||—starchily,—starchiness
stargazing	stargazer|||noun|||—stargazing
starkly	stark|||adjective|||—starkly,—starkness
starkness	stark|||adjective|||—starkly,—starkness
startled	startle|||verb|||—startled
startlingly	startling|||adjective|||—startlingly
statelessness	stateless|||adjective|||—statelessness
stateliness	stately|||adjective|||—stateliness
statesmanship	statesman|||noun|||—statesmanship
statically	static|||noun|||—statically
statistically	statistical|||adjective|||—statistically
statutorily	statutory|||adjective|||—statutorily
staunchly	staunch|||adjective|||—staunchly,—staunchness
staunchness	staunch|||adjective|||—staunchly,—staunchness
steadfastly	steadfast|||adjective|||—steadfastly,—steadfastness
steadfastness	steadfast|||adjective|||—steadfastly,—steadfastness
steadiness	steady|||adjective|||—steadiness
stealthily	stealthy|||adjective|||—stealthily
steelmaking	steelmaker|||noun|||—steelmaking
steeply	steep|||adjective|||—steeply,—steepness
steepness	steep|||adjective|||—steeply,—steepness
step by step	step-by-step|||adjective|||—step by step
stereotyped	stereotype|||verb|||—stereotyping,—stereotyped
stereotypical	stereotype|||noun|||—stereotypical,—stereotypically
stereotypically	stereotype|||noun|||—stereotypical,—stereotypically
stereotyping	stereotype|||verb|||—stereotyping,—stereotyped
sterility	sterile|||adjective|||—sterility
sterilization	sterilize|||verb|||—sterilizer,—sterilization
sterilizer	sterilize|||verb|||—sterilizer,—sterilization
sternly	stern|||adjective|||—sternly,—sternness
sternness	stern|||adjective|||—sternly,—sternness
stickiness	sticky|||adjective|||—stickiness
stiffly	stiff|||adjective|||—stiffly,—stiffness
stiffness	stiff|||adjective|||—stiffly,—stiffness
stigmatization	stigmatize|||verb|||—stigmatization
stillness	still|||adjective|||—stillness
stiltedly	stilted|||adjective|||—stiltedly
stimulation	stimulate|||verb|||—stimulative,—stimulation
stimulative	stimulate|||verb|||—stimulative,—stimulation
stingily	stingy|||adjective|||—stingily,—stinginess
stinginess	stingy|||adjective|||—stingily,—stinginess
stippled	stipple|||verb|||—stippled,—stippling
stippling	stipple|||verb|||—stippled,—stippling
stirringly	stirring|||adjective|||—stirringly
St Lucian	St Lucia|||noun|||—St Lucian
stockbroking	stockbroker|||noun|||—stockbroking
stockily	stocky|||adjective|||—stockily,—stockiness
stockiness	stocky|||adjective|||—stockily,—stockiness
stodginess	stodgy|||adjective|||—stodginess
stoically	stoical|||adjective|||—stoically
stolidly	stolid|||adjective|||—stolidly
stonily	stony|||adjective|||—stonily
storyboarding	storyboard|||noun|||—storyboarding
stoutly	stout|||adjective|||—stoutly,—stoutness
stoutness	stout|||adjective|||—stoutly,—stoutness
straightfacedly	straightfaced|||adjective|||—straightfacedly
straightforwardly	straightforward|||adjective|||—straightforwardly,—straightforwardness
straightforwardness	straightforward|||adjective|||—straightforwardly,—straightforwardness
strangeness	strange|||adjective|||—strangeness
strangler	strangle|||verb|||—strangler
strategically	strategic|||adjective|||—strategically
stratify	stratification|||noun|||—stratify
streaming	stream|||verb|||—streaming@@@streaming|||noun|||
streamlined	streamline|||verb|||—streamlined
street-credible	street cred|||noun|||—street-credible
street smarts	street-smart|||adjective|||—street smarts
strenuously	strenuous|||adjective|||—strenuously
striation	striated|||adjective|||—striation
strictness	strict|||adjective|||—strictness
stridency	strident|||adjective|||—stridently,—stridency
stridently	strident|||adjective|||—stridently,—stridency
stringency	stringent|||adjective|||—stringently,—stringency
stringently	stringent|||adjective|||—stringently,—stringency
strip-mine	strip mine|||noun|||—strip-mine,—strip mining
strip mining	strip mine|||noun|||—strip-mine,—strip mining
striving	strive|||verb|||—striving
stroppiness	stroppy|||adjective|||—stroppiness
structural engineering	structural engineer|||noun|||—structural engineering
structuralist	structuralism|||noun|||—structuralist
structurally	structural|||adjective|||—structurally
stubbly	stubble|||noun|||—stubbly
stubbornly	stubborn|||adjective|||—stubbornly,—stubbornness
stubbornness	stubborn|||adjective|||—stubbornly,—stubbornness
studiously	studious|||adjective|||—studiously,—studiousness
studiousness	studious|||adjective|||—studiously,—studiousness
stuffiness	stuffy|||adjective|||—stuffiness
stultify	stultifying|||adjective|||—stultify
stunningly	stunning|||adjective|||—stunningly
stupefaction	stupefied|||adjective|||—stupefaction
stupefy	stupefying|||adjective|||—stupefy
stupendously	stupendous|||adjective|||—stupendously
stupidly	stupid|||adjective|||—stupidly
sturdily	sturdy|||adjective|||—sturdily,—sturdiness
sturdiness	sturdy|||adjective|||—sturdily,—sturdiness
stylishly	stylish|||adjective|||—stylishly,—stylishness
stylishness	stylish|||adjective|||—stylishly,—stylishness
stylistically	stylistic|||adjective|||—stylistically
stylization	stylized|||adjective|||—stylization
suavely	suave|||adjective|||—suavely,—suavity, suaveness
suavity, suaveness	suave|||adjective|||—suavely,—suavity, suaveness
subconsciously	subconscious|||adjective|||—subconsciously
subcutaneously	subcutaneous|||adjective|||—subcutaneously
subjectively	subjective|||adjective|||—subjectively,—subjectivity
subjectivity	subjective|||adjective|||—subjectively,—subjectivity
subjugation	subjugate|||verb|||—subjugation
sublimation	sublimate|||verb|||—sublimation
sublimely	sublime|||adjective|||—sublimely,—sublimeness,—sublimity
sublimeness	sublime|||adjective|||—sublimely,—sublimeness,—sublimity
sublimity	sublime|||adjective|||—sublimely,—sublimeness,—sublimity
submerged	submerge|||verb|||—submerged,—submergence
submergence	submerge|||verb|||—submerged,—submergence
submissively	submissive|||adjective|||—submissively,—submissiveness
submissiveness	submissive|||adjective|||—submissively,—submissiveness
subordination	subordinate|||verb|||—subordination
subornation	suborn|||verb|||—subornation
subservience	subservient|||adjective|||—subserviently,—subservience
subserviently	subservient|||adjective|||—subserviently,—subservience
subsidization	subsidize|||verb|||—subsidized,—subsidization
subsidized	subsidize|||verb|||—subsidized,—subsidization
substantiation	substantiate|||verb|||—substantiation
substantively	substantive|||adjective|||—substantively
subtenancy	subtenant|||noun|||—subtenancy
subtitled	subtitle|||noun|||—subtitle,—subtitled
subtly	subtle|||adjective|||—subtly
subversively	subversive|||adjective|||—subversively
subversiveness	subversive|||noun|||—subversiveness
successfully	successful|||adjective|||—successfully
successively	successive|||adjective|||—successively
succinctly	succinct|||adjective|||—succinctly,—succinctness
succinctness	succinct|||adjective|||—succinctly,—succinctness
succulence	succulent|||adjective|||—succulence
suddenness	sudden|||adjective|||—suddenness
sudsy	suds|||noun|||—sudsy
sufficiently	sufficient|||adjective|||—sufficiently
suffocation	suffocate|||verb|||—suffocation
sugared	sugar|||verb|||—sugared
suggestively	suggestive|||adjective|||—suggestively,—suggestiveness
suggestiveness	suggestive|||adjective|||—suggestively,—suggestiveness
sulkily	sulky|||adjective|||—sulkily,—sulkiness
sulkiness	sulky|||adjective|||—sulkily,—sulkiness
sullenly	sullen|||adjective|||—sullenly,—sullenness
sullenness	sullen|||adjective|||—sullenly,—sullenness
sultriness	sultry|||adjective|||—sultriness
Sumatran	Sumatra|||noun|||—Sumatran
sumo wrestler	sumo|||noun|||—sumo wrestler
sumptuously	sumptuous|||adjective|||—sumptuously,—sumptuousness
sumptuousness	sumptuous|||adjective|||—sumptuously,—sumptuousness
suntanned	suntan|||noun|||—suntanned
superabundant	superabundance|||noun|||—superabundant
superbly	superb|||adjective|||—superbly
superciliously	supercilious|||adjective|||—superciliously,—superciliousness
superciliousness	supercilious|||adjective|||—superciliously,—superciliousness
superficiality	superficial|||adjective|||—superficially,—superficiality
superficially	superficial|||adjective|||—superficially,—superficiality
superfluously	superfluous|||adjective|||—superfluously
superglue	Superglue|||noun|||—superglue
superimposition	superimpose|||verb|||—superimposition
superintendence	superintend|||verb|||—superintendence
supernaturally	supernatural|||adjective|||—supernaturally
superstitiously	superstitious|||adjective|||—superstitiously
supervisory	supervisor|||noun|||—supervisory
supplementation	supplement|||verb|||—supplementation
suppleness	supple|||adjective|||—suppleness
suppressible	suppress|||verb|||—suppressible,—suppression
suppression	suppress|||verb|||—suppressible,—suppression
sureness	sure|||adjective|||—sureness
surgically	surgical|||adjective|||—surgically
Surinamese	Suriname|||noun|||—Surinamese
surliness	surly|||adjective|||—surliness
surmountable	surmount|||verb|||—surmountable
surrealist	surrealism|||noun|||—surrealist,—surrealist@@@surrealism|||noun|||—surrealist,—surrealist
surrealistically	surrealistic|||adjective|||—surrealistically
surreptitiously	surreptitious|||adjective|||—surreptitiously,—surreptitiousness
surreptitiousness	surreptitious|||adjective|||—surreptitiously,—surreptitiousness
sustainability	sustainable|||adjective|||—sustainability
swampy	swamp|||noun|||—swampy
swashbuckler	swashbuckling|||adjective|||—swashbuckler
swearing	swear|||verb|||—swearing
sweetly	sweet|||adjective|||—sweetly
sweet talk	sweet-talk|||verb|||—sweet talk
swiftly	swift|||adjective|||—swiftly,—swiftness
swiftness	swift|||adjective|||—swiftly,—swiftness
swindler	swindle|||verb|||—swindler
Swiss	Switzerland|||adjective|||—Swiss@@@Swiss|||adjective|||@@@Swiss|||noun|||
swotty	swot|||noun|||—swotty
sycophancy	sycophantic|||adjective|||—sycophancy
syllogistic	syllogism|||noun|||—syllogistic
symbolically	symbolic|||adjective|||—symbolically
symmetrically	symmetrical|||adjective|||—symmetrically
sympathetically	sympathetic|||adjective|||—sympathetically
symphonic	symphony|||noun|||—symphonic
symptomatically	symptomatic|||adjective|||—symptomatically
synaptic	synapse|||noun|||—synaptic
synchronization	synchronize|||verb|||—synchronization
syndicalist	syndicalism|||noun|||—syndicalist,—syndicalist@@@syndicalism|||noun|||—syndicalist,—syndicalist
syndication	syndicate|||verb|||—syndication
synonymously	synonymous|||adjective|||—synonymously
syntactically	syntactic|||adjective|||—syntactically
synthetically	synthetic|||adjective|||—synthetically
syphilitic	syphilis|||noun|||—syphilitic
Syrian	Syria|||noun|||—Syrian
systematically	systematic|||adjective|||—systematically
systematization	systematize|||verb|||—systematization
systems analysis	systems analyst|||noun|||—ˌsystems aˈnalysis
tabulation	tabulate|||verb|||—tabulation
tacitly	tacit|||adjective|||—tacitly
taciturnity	taciturn|||adjective|||—taciturnity
tackily	tacky|||adjective|||—tackily,—tackiness
tackiness	tacky|||adjective|||—tackily,—tackiness
tackler	tackle|||verb|||—tackler
tactfully	tactful|||adjective|||—tactfully
tactically	tactical|||adjective|||—tactically
tactlessly	tactless|||adjective|||—tactlessly,—tactlessness
tactlessness	tactless|||adjective|||—tactlessly,—tactlessness
tagger	tagging|||noun|||—tagger
Taiwanese	Taiwan|||noun|||—Taiwanese
Tajik	Tajikistan|||noun|||—Tajik,—Tajikistani
tallness	tall|||adjective|||—tallness
Talmudic	Talmud|||noun|||—Talmudic
tamely	tame|||adjective|||—tamely,—tameness
tameness	tame|||adjective|||—tamely,—tameness
tangentially	tangential|||adjective|||—tangentially
tangibility	tangible|||adjective|||—tangibly,—tangibility
tangibly	tangible|||adjective|||—tangibly,—tangibility
tangy	tang|||noun|||—tangy
tanorexia	tanorexic|||adjective|||—tanorexia
tantalizingly	tantalizing|||adjective|||—tantalizingly
Tanzanian	Tanzania|||noun|||—Tanzanian
tap dance	tap dancing|||noun|||—tap dance,—tap dancer
tap dancer	tap dancing|||noun|||—tap dance,—tap dancer
tapering	taper|||verb|||—tapering
tardily	tardy|||adjective|||—tardily,—tardiness
tardiness	tardy|||adjective|||—tardily,—tardiness
tarsal	tarsus|||noun|||—tarsal
tartly	tart|||adjective|||—tartly,—tartness
tartness	tart|||adjective|||—tartly,—tartness
tase	Taser|||noun|||—tase
Tasmanian	Tasmania|||noun|||—Tasmanian
tasselled	tassel|||noun|||—tasselled
tastefully	tasteful|||adjective|||—tastefully,—tastefulness
tastefulness	tasteful|||adjective|||—tastefully,—tastefulness
tattily	tatty|||adjective|||—tattily,—tattiness
tattiness	tatty|||adjective|||—tattily,—tattiness
tattler	tattle|||verb|||—tattle,—tattler
tattooed	tattoo|||verb|||—tattooed
tauntingly	taunt|||verb|||—tauntingly
Taurean	Taurus|||noun|||—Taurean
tautological	tautology|||noun|||—tautological
tawdriness	tawdry|||adjective|||—tawdriness
taxonomist	taxonomy|||noun|||—taxonomist
tearfully	tearful|||adjective|||—tearfully
technologically	technological|||adjective|||—technologically
technophobia	technophobe|||noun|||—technophobia
tediously	tedious|||adjective|||—tediously
teetotalism	teetotal|||adjective|||—teetotalism
telecommuting	telecommuter|||noun|||—telecommuting
teleconferencing	teleconference|||verb|||—teleconferencing
telegraphic	telegraph|||noun|||—telegraphic
teleportation	teleport|||verb|||—teleportation
televangelism	televangelist|||noun|||—televangelism
teleworking	teleworker|||noun|||—teleworking
tellingly	telling|||adjective|||—tellingly
temperamentally	temperamental|||adjective|||—temperamentally
temporarily	temporary|||adjective|||—temporarily
tenaciously	tenacious|||adjective|||—tenaciously,—tenacity
tenacity	tenacious|||adjective|||—tenaciously,—tenacity
tenderly	tender|||adjective|||—tenderly,—tenderness
tenderness	tender|||adjective|||—tenderly,—tenderness
tensely	tense|||adjective|||—tensely,—tenseness
tenseness	tense|||adjective|||—tensely,—tenseness
tentatively	tentative|||adjective|||—tentatively,—tentativeness
tentativeness	tentative|||adjective|||—tentatively,—tentativeness
tenuously	tenuous|||adjective|||—tenuously
tenured	tenure|||noun|||—tenured
terminally	terminal|||adjective|||—terminally
terminological	terminology|||noun|||—terminological
terracing	terrace|||noun|||—terracing
terrifyingly	terrifying|||adjective|||—terrifyingly
tersely	terse|||adjective|||—tersely,—terseness
terseness	terse|||adjective|||—tersely,—terseness
testamentary	testament|||noun|||—testamentary
test-drive	test drive|||noun|||—test-drive
testicular	testicle|||noun|||—testicular
testily	testy|||adjective|||—testily,—testiness
testiness	testy|||adjective|||—testily,—testiness
tetchily	tetchy|||adjective|||—tetchily,—tetchiness
tetchiness	tetchy|||adjective|||—tetchily,—tetchiness
Texan	Texas|||noun|||—Texan
texting	text|||verb|||—texting
text-messaging	text message|||verb|||—text-messaging
textural	texture|||noun|||—textural,—texturally
texturally	texture|||noun|||—textural,—texturally
thankfulness	thankful|||adjective|||—thankfulness
theatrically	theatrical|||adjective|||—theatrically
Theban	Thebes|||noun|||—Theban
thematically	thematic|||adjective|||—thematically
theocratic	theocracy|||noun|||—theocratic
theological	theology|||noun|||—theological,—theologically
theologically	theology|||noun|||—theological,—theologically
therapeutically	therapeutic|||adjective|||—therapeutically
thermodynamic	thermodynamics|||noun|||—thermodynamic
thinness	thin|||adjective|||—thinness
third-class	third class|||noun|||—third-class
thirdly	third|||adjective|||—third,—thirdly
thirstily	thirsty|||adjective|||—thirstily
thirteenth	thirteen|||number|||—thirteenth
thirtieth	thirty|||number|||—thirtieth
thoracic	thorax|||noun|||—thoracic
thorniness	thorny|||adjective|||—thorniness
thoroughness	thorough|||adjective|||—thoroughness
thoughtfully	thoughtful|||adjective|||—thoughtfully,—thoughtfulness
thoughtfulness	thoughtful|||adjective|||—thoughtfully,—thoughtfulness
thoughtlessly	thoughtless|||adjective|||—thoughtlessly,—thoughtlessness
thoughtlessness	thoughtless|||adjective|||—thoughtlessly,—thoughtlessness
thousandth	thousand|||number|||—thousandth,—thousandth@@@thousand|||number|||—thousandth,—thousandth
threateningly	threatening|||adjective|||—threateningly
thresher	thresh|||verb|||—thresher
thriftily	thrifty|||adjective|||—thriftily,—thriftiness
thriftiness	thrifty|||adjective|||—thriftily,—thriftiness
thrillingly	thrilling|||adjective|||—thrillingly
throatily	throaty|||adjective|||—throatily,—throatiness
throatiness	throaty|||adjective|||—throatily,—throatiness
thunderously	thunderous|||adjective|||—thunderously
tidily	tidy|||adjective|||—tidily,—tidiness
tidiness	tidy|||adjective|||—tidily,—tidiness
tight-fistedness	tight-fisted|||adjective|||—tight-fistedness
tightness	tight|||adjective|||—tightness
tiled	tile|||verb|||—tiled,—tiler
tiler	tile|||verb|||—tiled,—tiler
timekeeping	timekeeper|||noun|||—timekeeping
timelessly	timeless|||adjective|||—timelessly,—timelessness
timelessness	timeless|||adjective|||—timelessly,—timelessness
time-saver	time-saving|||adjective|||—time-saver
timeserving	timeserver|||noun|||—timeserving
timetabling	timetable|||verb|||—timetabling
time traveller	time travel|||noun|||—time traveller
timidity	timid|||adjective|||—timidly,—timidity
timidly	timid|||adjective|||—timidly,—timidity
timorously	timorous|||adjective|||—timorously,—timorousness
timorousness	timorous|||adjective|||—timorously,—timorousness
tipsily	tipsy|||adjective|||—tipsily,—tipsiness
tipsiness	tipsy|||adjective|||—tipsily,—tipsiness
tiredly	tired|||adjective|||—tiredness,—tiredly
tiredness	tired|||adjective|||—tiredness,—tiredly
tirelessly	tireless|||adjective|||—tirelessly
titillating	titillate|||verb|||—titillating,—titillation
titillation	titillate|||verb|||—titillating,—titillation
to-and-fro	to and fro|||adverb|||—to-and-fro
tobogganing	toboggan|||verb|||—tobogganing
toe-curlingly	toe-curling|||adjective|||—toe-curlingly
Togolese	Togo|||noun|||—Togolese
toilet-train	toilet-training|||noun|||—toilet-train,—toilet-trained
toilet-trained	toilet-training|||noun|||—toilet-train,—toilet-trained
Tongan	Tonga|||noun|||—Tongan
tonsured	tonsure|||noun|||—tonsured
topicality	topical|||adjective|||—topically,—topicality
topically	topical|||adjective|||—topically,—topicality
topographer	topography|||noun|||—topographer,—topographical
topographical	topography|||noun|||—topographer,—topographical
top-slicing	top-slice|||verb|||—top-slicing
torch singer	torch song|||noun|||—torch singer
tormentor	torment|||verb|||—tormentor
tortuously	tortuous|||adjective|||—tortuously
torturer	torture|||verb|||—torturer
totalitarianism	totalitarian|||adjective|||—totalitarianism
totemic	totem|||noun|||—totemic
touchiness	touchy|||adjective|||—touchiness
touchingly	touching|||adjective|||—touchingly
toughly	tough|||adjective|||—toughly,—toughness
toughness	tough|||adjective|||—toughly,—toughness
town councillor	town council|||noun|||—town councillor
town planner	town planning|||noun|||—town planner
toxicity	toxic|||adjective|||—toxicity
toxicological	toxicology|||noun|||—toxicologist,—toxicological
toxicologist	toxicology|||noun|||—toxicologist,—toxicological
traceable	trace|||verb|||—traceable
tractability	tractable|||adjective|||—tractability
trade unionism	trade union|||noun|||—trade unionist,—trade unionism
trade unionist	trade union|||noun|||—trade unionist,—trade unionism
tragicomic	tragicomedy|||noun|||—tragicomic
trailblazing	trailblazer|||noun|||—trailblazing
trainspotting	train spotter|||noun|||—trainspotting
traitorously	traitorous|||adjective|||—traitorously
tranquillity	tranquil|||adjective|||—tranquilly,—tranquillity
tranquilly	tranquil|||adjective|||—tranquilly,—tranquillity
transcendently	transcendent|||adjective|||—transcendently
transferability	transfer|||verb|||—transferable,—transferability
transferable	transfer|||verb|||—transferable,—transferability
transfiguration	transfigure|||verb|||—transfiguration
transgendered	transgender|||noun|||—transgendered,—transgenderism
transgenderism	transgender|||noun|||—transgendered,—transgenderism
transgression	transgress|||verb|||—transgressor,—transgression
transgressor	transgress|||verb|||—transgressor,—transgression
transience	transient|||adjective|||—transience
transitionally	transitional|||adjective|||—transitionally
transitively	transitive|||adjective|||—transitively,—transitivity
transitivity	transitive|||adjective|||—transitively,—transitivity
translatable	translate|||verb|||—translatable
transliteration	transliterate|||verb|||—transliteration
translucence	translucent|||adjective|||—translucence
transmogrification	transmogrify|||verb|||—transmogrification
transmutation	transmute|||verb|||—transmutation
transparently	transparent|||adjective|||—transparently
transplantation	transplant|||verb|||—transplantation
transportable	transport|||verb|||—transportable
transposition	transpose|||verb|||—transposition
transsexualism	transsexual|||noun|||—transsexual,—transsexualism
transvestism	transvestite|||noun|||—transvestite,—transvestism
Transylvanian	Transylvania|||adjective|||—Transylvanian
trashiness	trashy|||adjective|||—trashiness
traumatically	traumatic|||adjective|||—traumatically
traumatized	traumatize|||verb|||—traumatized
travel-sick	travel sickness|||noun|||—travel-sick
treacherously	treacherous|||adjective|||—treacherously
treacly	treacle|||noun|||—treacly
treasonable,	treason|||noun|||—treasonable,,—treasonous
treasured	treasure|||verb|||—treasured
tremendously	tremendous|||adjective|||—tremendously
tremulously	tremulous|||adjective|||—tremulously
trenchantly	trenchant|||adjective|||—trenchantly
trendiness	trendy|||adjective|||—trendiness
trendsetting	trendsetter|||noun|||—trendsetting
trendspotting	trendspotter|||noun|||—trendspotting
trespasser	trespass|||verb|||—trespasser
trillionth	trillion|||number|||—trillionth,—trillionth@@@trillion|||number|||—trillionth,—trillionth
triple jumper	triple jump|||noun|||—triple jumper
tritely	trite|||adjective|||—triteness,—tritely
triteness	trite|||adjective|||—triteness,—tritely
triumphantly	triumphant|||adjective|||—triumphantly
trivialization	trivialize|||verb|||—trivialization
trombonist	trombone|||noun|||—trombonist
troubleshooting	troubleshooter|||noun|||—troubleshooting
truculence	truculent|||adjective|||—truculently,—truculence
truculently	truculent|||adjective|||—truculently,—truculence
trumped-up	trump|||verb|||—trumped-up
truncation	truncate|||verb|||—truncation
trustworthiness	trustworthy|||adjective|||—trustworthiness
truthfully	truthful|||adjective|||—truthfully,—truthfulness
truthfulness	truthful|||adjective|||—truthfully,—truthfulness
tsarist	tsarism|||noun|||—tsarist,—tsarist@@@tsarism|||noun|||—tsarist,—tsarist
tubercular	tuberculosis|||noun|||—tubercular
tuberous	tuber|||noun|||—tuberous
tub-thumper	tub-thumping|||adjective|||—tub-thumping,—tub-thumper
tumescence	tumescent|||adjective|||—tumescence
tunefully	tuneful|||adjective|||—tunefully,—tunefulness
tunefulness	tuneful|||adjective|||—tunefully,—tunefulness
tunelessly	tuneless|||adjective|||—tunelessly
Tunisian	Tunisia|||noun|||—Tunisian
turbidity	turbid|||adjective|||—turbidity
turgidity	turgid|||adjective|||—turgidity
Turkmen	Turkmenistan|||adjective|||—Turkmen
turreted	turret|||noun|||—turreted
twentieth	twenty|||number|||—twentieth
twiggy	twig|||noun|||—twiggy
twin-bedded	twin bed|||noun|||—twin-bedded
twirly	twirl|||verb|||—twirl,—twirly
twisty	twist|||noun|||—twisty
twitterjack	twitterjacking|||noun|||—twitterjack,—twitterjacker
twitterjacker	twitterjacking|||noun|||—twitterjack,—twitterjacker
two-timer	two-time|||verb|||—two-timer
typecasting	typecast|||verb|||—typecasting
typeset	typesetting|||noun|||—typesetter,—typeset
typesetter	typesetting|||noun|||—typesetter,—typeset
typographic	typography|||noun|||—typographic,—typographically
typographically	typography|||noun|||—typographic,—typographically
typological	typology|||noun|||—typological
ubiquitously	ubiquitous|||adjective|||—ubiquitously,—ubiquity
ubiquity	ubiquitous|||adjective|||—ubiquitously,—ubiquity
Ugandan	Uganda|||noun|||—Ugandan
ugliness	ugly|||adjective|||—ugliness
Ukrainian	Ukraine|||noun|||—Ukrainian
ulcerated	ulcerate|||verb|||—ulcerated,—ulceration
ulceration	ulcerate|||verb|||—ulcerated,—ulceration
ulcerous	ulcer|||noun|||—ulcerous
ululation	ululate|||verb|||—ululation
umpteenth	umpteen|||det|||—umpteenth@@@umpteenth|||adjective|||
unacceptably	unacceptable|||adjective|||—unacceptably
unaffectedly	unaffected|||adjective|||—unaffectedly
unalterably	unalterable|||adjective|||—unalterably
unambiguously	unambiguous|||adjective|||—unambiguously
unanimously	unanimous|||adjective|||—unanimously
unarguably	unarguable|||adjective|||—unarguably
unashamedly	unashamed|||adjective|||—unashamedly
unattractively	unattractive|||adjective|||—unattractively
unavoidably	unavoidable|||adjective|||—unavoidably
unbearably	unbearable|||adjective|||—unbearably
unbelievably	unbelievable|||adjective|||—unbelievably
uncannily	uncanny|||adjective|||—uncannily
unceasingly	unceasing|||adjective|||—unceasingly
unceremonious	unceremoniously|||adverb|||—unceremonious
uncertainly	uncertain|||adjective|||—uncertainly
uncharacteristically	uncharacteristic|||adjective|||—uncharacteristically
uncleanness	unclean|||adjective|||—uncleanness
uncomfortably	uncomfortable|||adjective|||—uncomfortably
uncomplainingly	uncomplaining|||adjective|||—uncomplainingly
uncomprehendingly	uncomprehending|||adjective|||—uncomprehendingly
uncompromisingly	uncompromising|||adjective|||—uncompromisingly
unconcernedly	unconcerned|||adjective|||—unconcernedly
unconditionally	unconditional|||adjective|||—unconditionally
unconscionably	unconscionable|||adjective|||—unconscionably
unconsciously	unconscious|||adjective|||—unconsciously,—unconsciousness
unconsciousness	unconscious|||adjective|||—unconsciously,—unconsciousness
unconstitutionally	unconstitutional|||adjective|||—unconstitutionally
unconvincingly	unconvincing|||adjective|||—unconvincingly
uncouthly	uncouth|||adjective|||—uncouthly,—uncouthness
uncouthness	uncouth|||adjective|||—uncouthly,—uncouthness
uncritically	uncritical|||adjective|||—uncritically
unctuously	unctuous|||adjective|||—unctuously,—unctuousness
unctuousness	unctuous|||adjective|||—unctuously,—unctuousness
undecidedly	undecided|||adjective|||—undecidedly
undeniably	undeniable|||adjective|||—undeniably
underachieve	underachiever|||noun|||—underachieve,—underachievement
underachievement	underachiever|||noun|||—underachieve,—underachievement
underdevelopment	underdeveloped|||adjective|||—underdevelopment
underexposed	underexpose|||verb|||—underexposed
underfunding	underfunded|||adjective|||—underfunding
undernourishment	undernourished|||adjective|||—undernourishment
underpinning	underpin|||verb|||—underpinning
understandably	understandable|||adjective|||—understandably
undulation	undulate|||verb|||—undulation
uneasily	uneasy|||adjective|||—uneasily,—uneasiness
uneasiness	uneasy|||adjective|||—uneasily,—uneasiness
uneconomically	uneconomical|||adjective|||—uneconomically
unequally	unequal|||adjective|||—unequally
unequivocally	unequivocal|||adjective|||—unequivocally
unerringly	unerring|||adjective|||—unerringly
unethically	unethical|||adjective|||—unethically
unevenly	uneven|||adjective|||—unevenly,—unevenness
unevenness	uneven|||adjective|||—unevenly,—unevenness
uneventfully	uneventful|||adjective|||—uneventfully,—uneventfulness
uneventfulness	uneventful|||adjective|||—uneventfully,—uneventfulness
unexpectedly	unexpected|||adjective|||—unexpectedly
unfailingly	unfailing|||adjective|||—unfailingly
unfairly	unfair|||adjective|||—unfairly,—unfairness
unfairness	unfair|||adjective|||—unfairly,—unfairness
unfaithfully	unfaithful|||adjective|||—unfaithfully,—unfaithfulness
unfaithfulness	unfaithful|||adjective|||—unfaithfully,—unfaithfulness
unfamiliarity	unfamiliar|||adjective|||—unfamiliarity
unfavourably	unfavourable|||adjective|||—unfavourably
unflinchingly	unflinching|||adjective|||—unflinchingly
unforgettably	unforgettable|||adjective|||—unforgettably
unforgivably	unforgivable|||adjective|||—unforgivably
ungainliness	ungainly|||adjective|||—ungainliness
ungraciously	ungracious|||adjective|||—ungraciously
unhappiness	unhappy|||adjective|||—unhappiness
unhealthily	unhealthy|||adjective|||—unhealthily
unhelpfully	unhelpful|||adjective|||—unhelpfully,—unhelpfulness
unhelpfulness	unhelpful|||adjective|||—unhelpfully,—unhelpfulness
unhinged	unhinge|||verb|||—unhinged
unhurriedly	unhurried|||adjective|||—unhurriedly
unhygienically	unhygienic|||adjective|||—unhygienically
uniformly	uniform|||adjective|||—uniformly
unilateralism	unilateral|||adjective|||—unilateralism,—unilaterally
unilaterally	unilateral|||adjective|||—unilateralism,—unilaterally
unimaginably	unimaginable|||adjective|||—unimaginably
unimpeachably	unimpeachable|||adjective|||—unimpeachably
